timestamp,source,event_id,host,user,activity,evidence,attack_technique,analyst_note,record_id,process_guid,logon_id,related_records
2026-09-23T08:00:00.000000Z,Security,4624,SYN-WIN-04,SYNTH\lee,Successful logon,"{""Account"":""SYNTH\\lee"",""Computer"":""SYN-WIN-04"",""EventID"":""4624"",""IpAddress"":"""",""LogonType"":""2"",""PrivilegeList"":"""",""ProcessName"":""C:\\Windows\\System32\\svchost.exe"",""RecordId"":""SEC-001"",""SubjectLogonId"":"""",""SubjectUserName"":"""",""TargetLogonId"":""0x100"",""TargetUserName"":""lee"",""TimeGenerated"":""2026-09-23T08:00:00Z""}",,Synthetic observation; no automated maliciousness conclusion.,SEC-001,,0x100,Sysmon:SYS-001;Sysmon:SYS-004
2026-09-23T08:01:00.000000Z,Sysmon,1,SYN-WIN-04,SYNTH\lee,Process creation,"{""CommandLine"":""notepad.exe"",""Computer"":""SYN-WIN-04"",""DestinationIp"":"""",""DestinationPort"":"""",""Details"":"""",""EventID"":1,""EventType"":"""",""Image"":""C:\\Windows\\System32\\notepad.exe"",""LogonId"":""0x100"",""ParentImage"":""C:\\Windows\\explorer.exe"",""ProcessGuid"":""{0e5292e4-34fa-5070-982b-267998326b0d}"",""RecordId"":""SYS-001"",""TargetObject"":"""",""User"":""SYNTH\\lee"",""UtcTime"":""2026-09-23T08:01:00Z""}",,Synthetic observation; no automated maliciousness conclusion.,SYS-001,{0e5292e4-34fa-5070-982b-267998326b0d},0x100,Security:SEC-001;Sysmon:SYS-004
2026-09-23T08:05:00.000000Z,Security,4624,SYN-WIN-04,SYNTH\ops.admin,Successful logon,"{""Account"":""SYNTH\\ops.admin"",""Computer"":""SYN-WIN-04"",""EventID"":""4624"",""IpAddress"":""192.0.2.10"",""LogonType"":""10"",""PrivilegeList"":"""",""ProcessName"":""C:\\Windows\\System32\\svchost.exe"",""RecordId"":""SEC-002"",""SubjectLogonId"":"""",""SubjectUserName"":"""",""TargetLogonId"":""0x110"",""TargetUserName"":""ops.admin"",""TimeGenerated"":""2026-09-23T08:05:00Z""}",,Synthetic observation; no automated maliciousness conclusion.,SEC-002,,0x110,Security:SEC-003;Sysmon:SYS-002;Sysmon:SYS-009
2026-09-23T08:05:01.000000Z,Security,4672,SYN-WIN-04,SYNTH\ops.admin,Special privileges assigned,"{""Account"":""SYNTH\\ops.admin"",""Computer"":""SYN-WIN-04"",""EventID"":""4672"",""IpAddress"":"""",""LogonType"":"""",""PrivilegeList"":""SeDebugPrivilege SeBackupPrivilege"",""ProcessName"":"""",""RecordId"":""SEC-003"",""SubjectLogonId"":""0x110"",""SubjectUserName"":""ops.admin"",""TargetLogonId"":"""",""TargetUserName"":"""",""TimeGenerated"":""2026-09-23T08:05:01Z""}",,Synthetic observation; no automated maliciousness conclusion.,SEC-003,,0x110,Security:SEC-002;Sysmon:SYS-002;Sysmon:SYS-009
2026-09-23T08:06:00.000000Z,Sysmon,1,SYN-WIN-04,SYNTH\ops.admin,Process creation,"{""CommandLine"":""powershell.exe -NoProfile -File C:\\Approved\\inventory.ps1"",""Computer"":""SYN-WIN-04"",""DestinationIp"":"""",""DestinationPort"":"""",""Details"":"""",""EventID"":1,""EventType"":"""",""Image"":""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"",""LogonId"":""0x110"",""ParentImage"":""C:\\Windows\\explorer.exe"",""ProcessGuid"":""{bc6e4059-249d-5470-b0fa-7bac22c6eb83}"",""RecordId"":""SYS-002"",""TargetObject"":"""",""User"":""SYNTH\\ops.admin"",""UtcTime"":""2026-09-23T08:06:00Z""}",,Synthetic observation; no automated maliciousness conclusion.,SYS-002,{bc6e4059-249d-5470-b0fa-7bac22c6eb83},0x110,Security:SEC-002;Security:SEC-003;Sysmon:SYS-009
2026-09-23T08:07:00.000000Z,Sysmon,13,SYN-WIN-04,SYNTH\lee,Registry value set,"{""CommandLine"":"""",""Computer"":""SYN-WIN-04"",""DestinationIp"":"""",""DestinationPort"":"""",""Details"":""\""C:\\Program Files\\ExampleVendor\\updater.exe\"""",""EventID"":13,""EventType"":""SetValue"",""Image"":""C:\\Program Files\\ExampleVendor\\setup.exe"",""LogonId"":"""",""ParentImage"":"""",""ProcessGuid"":""{4994d548-8288-56eb-bc02-a6b47d05cc96}"",""RecordId"":""SYS-003"",""TargetObject"":""HKLM\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run\\ExampleUpdater"",""User"":""SYNTH\\lee"",""UtcTime"":""2026-09-23T08:07:00Z""}",,Synthetic observation; no automated maliciousness conclusion.,SYS-003,{4994d548-8288-56eb-bc02-a6b47d05cc96},,
2026-09-23T08:08:00.000000Z,Sysmon,1,SYN-WIN-04,SYNTH\lee,Process creation,"{""CommandLine"":""powershell.exe -NoProfile -Command Get-Date"",""Computer"":""SYN-WIN-04"",""DestinationIp"":"""",""DestinationPort"":"""",""Details"":"""",""EventID"":1,""EventType"":"""",""Image"":""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"",""LogonId"":""0x100"",""ParentImage"":""C:\\Program Files\\Microsoft Office\\root\\Office16\\WINWORD.EXE"",""ProcessGuid"":""{c1082e48-7da5-5d74-a0a5-9a566d50689b}"",""RecordId"":""SYS-004"",""TargetObject"":"""",""User"":""SYNTH\\lee"",""UtcTime"":""2026-09-23T08:08:00Z""}",,Synthetic observation; no automated maliciousness conclusion.,SYS-004,{c1082e48-7da5-5d74-a0a5-9a566d50689b},0x100,Security:SEC-001;Sysmon:SYS-001
2026-09-23T08:10:00.000000Z,Security,4625,SYN-WIN-04,SYNTH\lee,Failed logon,"{""Account"":""SYNTH\\lee"",""Computer"":""SYN-WIN-04"",""EventID"":""4625"",""IpAddress"":""192.0.2.21"",""LogonType"":""3"",""PrivilegeList"":"""",""ProcessName"":"""",""RecordId"":""SEC-004"",""SubjectLogonId"":"""",""SubjectUserName"":"""",""TargetLogonId"":"""",""TargetUserName"":""lee"",""TimeGenerated"":""2026-09-23T08:10:00Z""}",,Synthetic observation; no automated maliciousness conclusion.,SEC-004,,,
2026-09-23T08:10:20.000000Z,Security,4624,SYN-WIN-04,SYNTH\lee,Successful logon,"{""Account"":""SYNTH\\lee"",""Computer"":""SYN-WIN-04"",""EventID"":""4624"",""IpAddress"":""192.0.2.21"",""LogonType"":""3"",""PrivilegeList"":"""",""ProcessName"":""C:\\Windows\\System32\\svchost.exe"",""RecordId"":""SEC-005"",""SubjectLogonId"":"""",""SubjectUserName"":"""",""TargetLogonId"":""0x120"",""TargetUserName"":""lee"",""TimeGenerated"":""2026-09-23T08:10:20Z""}",,Synthetic observation; no automated maliciousness conclusion.,SEC-005,,0x120,
2026-09-23T09:00:00.000000Z,Security,4625,SYN-WIN-04,SYNTH\ops.admin,Failed logon,"{""Account"":""SYNTH\\ops.admin"",""Computer"":""SYN-WIN-04"",""EventID"":""4625"",""IpAddress"":""198.51.100.24"",""LogonType"":""10"",""PrivilegeList"":"""",""ProcessName"":"""",""RecordId"":""SEC-006"",""SubjectLogonId"":"""",""SubjectUserName"":"""",""TargetLogonId"":"""",""TargetUserName"":""ops.admin"",""TimeGenerated"":""2026-09-23T09:00:00Z""}",,Synthetic observation; no automated maliciousness conclusion.,SEC-006,,,
