ColumnName,ColumnOrdinal,DataType,ColumnType
RecordId,0,System.String,string
UtcTime,1,System.DateTime,datetime
Computer,2,System.String,string
EventID,3,System.Int32,int
Image,4,System.String,string
ParentImage,5,System.String,string
CommandLine,6,System.String,string
User,7,System.String,string
LogonId,8,System.String,string
ProcessGuid,9,System.String,string
DestinationIp,10,System.String,string
DestinationPort,11,System.Int32,int
TargetObject,12,System.String,string
Details,13,System.String,string
EventType,14,System.String,string
