ColumnName,ColumnOrdinal,DataType,ColumnType
RecordId,0,System.String,string
TimeGenerated,1,System.DateTime,datetime
Computer,2,System.String,string
EventID,3,System.Int32,int
Account,4,System.String,string
LogonType,5,System.Int32,int
IpAddress,6,System.String,string
TargetLogonId,7,System.String,string
SubjectLogonId,8,System.String,string
SubjectUserName,9,System.String,string
TargetUserName,10,System.String,string
ProcessName,11,System.String,string
PrivilegeList,12,System.String,string
