Path,SHA256,Evidence role
07-lab/SOC-2026-007/SCENARIO_CONTRACT.md,961166ce6d6fdb6b1f36954d89542ec354739a33b510ae7ae9e3b6cd69b222b7,scenario contract
06-scripts/SOC-2026-007/parse_email_evidence.py,98aa3557130de7a33b916be77b0b7ddb839b5de20686df1c36e912e2d19e1560,deterministic parser
10-evidence/SOC-2026-007/suspicious-email.eml,a30f0e2f152dfe4c77869c1626fd0382e5ebffb3f612b9bc88cf4fae2734bc5c,primary synthetic evidence
10-evidence/SOC-2026-007/derived/email-metadata.json,160f820cd5a2092ea9900f412b3f29395561ad8ac6dc25c3f2c425bd106ff8d9,mechanically derived evidence
10-evidence/SOC-2026-007/derived/ioc-register.csv,42ce645ce08ee7ddaf4a9da4e2e0e443497b852a10db84532b9c19c6dc4fa4de,mechanically derived evidence
03-investigations/SOC-2026-007/header-authentication-analysis.md,628d833a7bc13212db7e2ccfaba9ad30df718e1a1e37748a4000b1ea9f6d46f8,retained case artifact
03-investigations/SOC-2026-007/user-impact-assessment.md,652da043a64ce7e0059d7880055be1ef5cc1063d37bc4d0c2dd23ac93f659b40,retained case artifact
03-investigations/SOC-2026-007/enrichment.md,ff977050f0c3daa4a7d601f5b5973095c9b31e98af30394ae6cd02e252ff2a22,retained case artifact
03-investigations/SOC-2026-007/severity-and-disposition.md,5f0ffcc236be63a4da74f283c1f12c25a4299b8b3f9c5754b826a6540e16e219,retained case artifact
03-investigations/SOC-2026-007/escalation.md,ae132431a2c473355ca864773ca91bc184c1939a2a36f6732427eb54bb2f74c6,retained case artifact
03-investigations/SOC-2026-007/investigation.md,bade4a5852d7bdc311f5d5cdcc18b28dafc791e43a454539560d4a3e08542afd,retained case artifact
03-investigations/SOC-2026-007/findings.md,118d9e8344a4b497b84130b36f096e927136921a439809c7c1f02bd0b88d20e8,retained case artifact
03-investigations/SOC-2026-007/timeline.csv,81cd0c0a3dfda3e71929b4852ce89d2cc0a43423380af73ed7d21515f37f48d4,retained case artifact
03-investigations/SOC-2026-007/ticket.md,0bdba3d702f34a18d6d85f68cc6a0d5a59b4c5fbd1731dcb3113ba8fa6f57ab0,retained case artifact
10-evidence/SOC-2026-007/REPRODUCE.md,bb78852ba8eda0f8271d049013115f2822f91f3260a4e7b63c8e314b519c94ef,reproduction instructions
10-evidence/SOC-2026-007/LIMITATIONS.md,5cb7b2fe2150dffddafeca737f883fc7d7fd7af864e6659a659d0c64303ef4b6,evidence limitations
